EWX,HYEM,HYG,IEF,IJR,IWM,LQD,SPY,VEA,VNQ,VNQI,VSS,VTV,VWO,VWOB
-0.0045113377,0.008058792,0.023258997,0.017248686,0.063626654,0.08071808,0.0035890378,0.02817339,0.017611817,0.0074707647,0.033265583,0.016624544,0.04364992,0.01668138,0.01586008
-0.011756156,0.00034373393,-0.0141279865,0.0058608106,-0.04700604,0.01894833,-0.014194426,0.013703416,-0.033423603,0.059188027,-0.04084388,-0.008947063,0.029189525,0.017736834,-0.0013803937
0.03246068,0.0068000164,0.011557611,0.0015564443,0.07153579,0.010765394,0.025767583,0.07464073,0.0408528,0.061087843,-0.020353802,0.06425107,0.046862394,0.085734144,0.023366874
-0.020860048,0.004735664,-0.015314737,0.007672088,-0.076948725,-0.032847263,0.00736617,-0.041514553,-0.016156774,-0.027671415,-0.015123855,-0.020821089,-0.05895695,-0.01620901,0.002023347
0.020119883,0.0042158305,-0.0076750256,0.01111746,-0.063464224,0.003949563,0.0069942335,0.022498066,0.035515748,-0.016372997,0.0061783018,0.019170195,0.015568969,0.0062557273,-0.0076075536
0.048552148,0.013956533,0.013129549,-0.0092204185,0.056089688,0.036748156,0.0049240044,0.051072296,0.059710257,-0.05527611,0.019975029,0.045051545,0.028066676,0.026152799,0.0025119246
0.0025743386,0.008694361,0.02326647,-0.0113277575,0.061511867,0.043083504,-0.007539871,0.026697474,0.015756737,0.037424423,-0.0053572077,0.024673628,0.017914386,-0.0057901684,-0.010797992
-0.008465912,0.0008297337,0.012365267,0.01870067,0.0155447405,-0.016939739,0.019278884,-0.012747383,0.016893854,-0.016360842,0.012557912,0.011043602,0.002972887,-0.004223855,-0.009060545
-0.0060489457,-0.027132127,-0.0056456598,-0.0024519304,-0.015754364,0.05483696,-0.022424515,-0.009419257,-0.013600208,0.0019463347,-0.007780863,0.0040991213,-0.010783564,-0.013194999,-0.021660825
0.02885015,0.028018903,0.028775217,0.008555596,0.044579327,0.1370869,0.021023944,0.03746839,0.058722563,0.0049426304,0.05482023,0.06797969,0.0677324,0.053213876,0.020587767
0.024317613,0.006880856,0.0070909914,-0.0143343415,0.066059135,0.032307204,0.013435738,0.007349211,0.025101647,0.013950434,-0.01504045,0.002165163,0.037124455,0.06556222,0.012561205
-0.0034255367,-0.0027274392,-0.006112962,-0.013222963,-0.07039291,0.10086369,-0.002122162,-0.0035127252,0.0015671365,-0.025668982,-0.026271127,-0.02193833,-0.020718278,-0.032860603,-0.0017374796
0.05667364,-0.009780779,-0.006639125,-0.010933355,0.09362263,0.04191547,-0.01093299,0.020104997,0.009704378,0.009547008,0.022272917,0.046449736,-0.015979184,0.066996545,-0.021616463
0.01530631,-0.050144054,0.006086652,-0.0049339077,-0.029013552,0.04382112,-0.01710039,-0.0012595467,-0.00499681,-0.036412176,-0.0077417623,0.013933666,-0.008924911,-0.034017343,-0.033388563
-0.02904738,0.036348246,0.017007004,0.0066929287,0.10755952,0.028092872,0.007893774,0.061339058,0.030619714,0.038307413,0.017191531,0.01272719,0.0670453,0.018299788,0.031516172
0.04325612,0.013337238,0.027297134,-0.0068023726,0.006169796,0.024560712,0.013489161,-0.0007902086,0.0123238135,0.051540256,0.05197581,0.042671286,-0.0088845715,0.043965593,3.9926264e-05
0.028838992,-0.031428996,0.016363755,-0.013940005,-0.024347834,0.03554456,-0.009356454,0.02336643,0.01782915,-0.025330804,-0.058854032,0.006956662,0.019015871,-0.019453045,-0.02121824
0.04770697,0.043872368,0.017772157,0.021574728,0.015465463,-0.022197416,0.034078084,0.010659689,0.032851502,-0.015680276,0.032996006,0.03854555,0.005970332,0.056242757,0.04305632
0.062356077,0.0042908774,0.001244498,0.0018067996,0.017940653,0.038742796,0.0070302505,0.03598481,0.021146197,-0.007703825,-0.016943038,0.027904926,0.016534299,0.020613704,0.0019098034
0.019530535,-0.017608933,0.01974308,0.01417995,-0.0544295,0.029881857,0.009258094,-0.014145054,0.0021209028,-0.02632432,-0.02348207,0.0012295954,-0.0531751,-0.011769416,-0.022338916
0.002183579,0.0030451296,-0.020180462,-0.0035644562,0.012939837,0.02326164,-0.0007940992,0.04133524,0.055942785,0.036283508,0.038077217,0.049879532,0.059248738,0.03527815,0.013814285
0.07131983,-0.022107948,-0.006794528,-0.011152085,-0.010451889,0.047978856,-0.024034325,0.0030510118,0.011215134,-0.05630347,-0.020674847,0.0033918098,-0.0047906544,0.0063666822,-0.017500503
-0.021913907,0.013306478,-0.00070413016,-0.014664441,-0.014747746,-0.013673944,0.0059589073,-0.009469872,-0.022512775,0.046308227,-0.00026043504,-0.01422126,0.025159135,-0.012408238,0.013022466
0.0036046943,-0.03642059,0.0033686482,-0.0048175687,0.0014663935,-0.049490847,-0.015385208,-0.02972804,0.015319977,0.006863639,0.049484987,0.008293179,-0.023917256,-0.036391027,-0.031226287
0.032767534,0.0062716315,0.03416874,0.013693756,0.012730401,0.14473478,0.03454538,0.08845563,0.0573695,0.07140113,0.044262778,0.03606272,0.07194841,0.016200557,0.031140959
0.030137219,-0.038796403,-0.016814146,-0.0013756619,0.04966699,0.025210615,-0.024097946,-0.026050769,0.037773397,-0.020165943,0.028137665,0.048551593,-0.043001167,0.010986401,-0.050245687
0.012097457,0.006325877,-0.017816262,-0.018358998,0.044710115,0.02615273,0.009326389,0.030008495,0.034238905,0.0607811,0.03385732,0.048331648,0.027742527,0.07592021,0.00853567
-0.08776912,0.0067571215,-0.01249586,-0.004813226,-0.030950453,-0.025592038,0.0122623835,-0.03178364,-0.029244639,0.02378884,-0.0226437,-0.04076094,0.012063837,-0.050489213,0.015172893
0.06986838,0.005952487,0.006167867,0.0005445173,0.051439926,0.03727995,-0.00036118878,0.021610327,0.07313797,0.0049474547,0.07507022,0.06508818,0.03802198,0.04894985,-0.0015676543
