variant,date,window_index,scale_index,module_path,base_kernel_type,learned_outputscale_mean,learned_outputscale_min,learned_outputscale_max
positive_beta_prior,2025-10-31,5,80,covar_module.kernels.0.base_kernel.base_kernel.kernels.7,ProductKernel,0.02816447789416942,0.02816447789416942,0.02816447789416942
positive_beta_prior,2025-11-28,6,32,covar_module.kernels.0.base_kernel.base_kernel.kernels.0,MaternKernel,0.04237124975067699,0.04237124975067699,0.04237124975067699
positive_beta_prior,2025-11-28,6,38,covar_module.kernels.0.base_kernel.base_kernel.kernels.1,MaternKernel,0.013748957214996776,0.013748957214996776,0.013748957214996776
positive_beta_prior,2025-11-28,6,42,covar_module.kernels.0.base_kernel.base_kernel.kernels.2,MaternKernel,0.05184716395419229,0.05184716395419229,0.05184716395419229
positive_beta_prior,2025-11-28,6,46,covar_module.kernels.0.base_kernel.base_kernel.kernels.3,RQKernel,0.026114179026951956,0.026114179026951956,0.026114179026951956
positive_beta_prior,2025-11-28,6,51,covar_module.kernels.0.base_kernel.base_kernel.kernels.4,LinearKernel,0.01723375575379629,0.01723375575379629,0.01723375575379629
positive_beta_prior,2025-11-28,6,54,covar_module.kernels.0.base_kernel.base_kernel.kernels.5,ProductKernel,0.06549772916934883,0.06549772916934883,0.06549772916934883
positive_beta_prior,2025-11-28,6,63,covar_module.kernels.0.base_kernel.base_kernel.kernels.6,ProductKernel,0.1922827405627195,0.1922827405627195,0.1922827405627195
positive_beta_prior,2025-11-28,6,80,covar_module.kernels.0.base_kernel.base_kernel.kernels.7,ProductKernel,0.014650820056446847,0.014650820056446847,0.014650820056446847
positive_beta_prior,2025-12-31,7,32,covar_module.kernels.0.base_kernel.base_kernel.kernels.0,MaternKernel,0.05651575317101963,0.05651575317101963,0.05651575317101963
positive_beta_prior,2025-12-31,7,38,covar_module.kernels.0.base_kernel.base_kernel.kernels.1,MaternKernel,0.011479041019731625,0.011479041019731625,0.011479041019731625
positive_beta_prior,2025-12-31,7,42,covar_module.kernels.0.base_kernel.base_kernel.kernels.2,MaternKernel,0.04060289752815261,0.04060289752815261,0.04060289752815261
positive_beta_prior,2025-12-31,7,46,covar_module.kernels.0.base_kernel.base_kernel.kernels.3,RQKernel,0.022011788125196198,0.022011788125196198,0.022011788125196198
positive_beta_prior,2025-12-31,7,51,covar_module.kernels.0.base_kernel.base_kernel.kernels.4,LinearKernel,0.016078029866726674,0.016078029866726674,0.016078029866726674
positive_beta_prior,2025-12-31,7,54,covar_module.kernels.0.base_kernel.base_kernel.kernels.5,ProductKernel,0.016557736164211682,0.016557736164211682,0.016557736164211682
