horizon,feature_a,feature_b,corr,abs_corr
3W-FRI,mom6m,trend_slope,0.26059359531478776,0.26059359531478776
3W-FRI,short_reversal_1m,ret_skew,-0.2603023357899213,0.2603023357899213
3W-FRI,ret_skew,lag2_y_excess_lead,0.2593543660830016,0.2593543660830016
3W-FRI,ma_signal,pct_above_50dma,0.25906532784256076,0.25906532784256076
3W-FRI,mom12m_skip1m,ma_regime,0.2590312495331504,0.2590312495331504
3W-FRI,mom12m_skip1m,vol_1w,-0.25831869465839763,0.25831869465839763
3W-FRI,pct_above_50dma,cpi_chg_12p,-0.2578270684888656,0.2578270684888656
3W-FRI,ma_regime,vix_ts_z_12p,0.254661502842896,0.254661502842896
3W-FRI,vol_ratio_1m_3m,vix,0.25201327983005467,0.25201327983005467
3W-FRI,mom12m_skip1m,ma_signal,0.25173321437543844,0.25173321437543844
3W-FRI,mom6m,spy_ret,0.2509391756142487,0.2509391756142487
3W-FRI,downside_vol_1m,sd_turn,0.2506854810304928,0.2506854810304928
3W-FRI,ret_skew,spy_ret,0.24875629468246457,0.24875629468246457
3W-FRI,ma_regime,vol_3m,-0.24806900033459758,0.24806900033459758
3W-FRI,vol_z,hy_spread_z_12p,0.24637135238519167,0.24637135238519167
3W-FRI,mom12m_skip1m,vix_slope,0.24468090769581452,0.24468090769581452
3W-FRI,vol_1m,ret_skew,0.23652240642080474,0.23652240642080474
3W-FRI,mom12m_skip1m,downside_vol_1m,-0.23642370784689495,0.23642370784689495
3W-FRI,mom12m,cpi_chg_1p,0.2345748856247398,0.2345748856247398
3W-FRI,ret_skew,vix_ts_z_12p,0.23404348001586978,0.23404348001586978
3W-FRI,ret_skew,vix,-0.23270563078340917,0.23270563078340917
3W-FRI,baspread,term_spread,0.23208742977600624,0.23208742977600624
3W-FRI,max_dd_6m,vix,-0.23162610989157037,0.23162610989157037
3W-FRI,vol_z,lag2_y_excess_lead,-0.23097967132501548,0.23097967132501548
3W-FRI,mom12m_skip1m,vix,-0.22963015096904435,0.22963015096904435
3W-FRI,mom12m,hy_spread_z_12p,-0.22865894214441984,0.22865894214441984
3W-FRI,mom12m,lag2_y_excess_lead,0.22842560527421346,0.22842560527421346
3W-FRI,chmom,max_dd_3m,0.22760900961342262,0.22760900961342262
3W-FRI,vol_3m,ret_kurt,0.22594198897805892,0.22594198897805892
3W-FRI,pct_above_50dma,tbill3m,0.22543831299873884,0.22543831299873884
3W-FRI,baspread,vix_slope,-0.22525267672224156,0.22525267672224156
3W-FRI,vol_1w,sd_turn,0.22466833970644626,0.22466833970644626
3W-FRI,vol_z,pct_above_50dma,-0.224664089637353,0.224664089637353
3W-FRI,mom6m,vol_of_vol,-0.22416570704846409,0.22416570704846409
3W-FRI,max_dd_3m,hy_spread_z_12p,-0.22348797700411935,0.22348797700411935
3W-FRI,vol_z,downside_vol_1m,0.22325696010718976,0.22325696010718976
3W-FRI,max_dd_3m,sd_turn,-0.22285281151280745,0.22285281151280745
3W-FRI,turnover,vix,0.22257125947525988,0.22257125947525988
3W-FRI,ill_log,baspread,0.22182212822878655,0.22182212822878655
3W-FRI,downside_vol_1m,term_spread,0.22045030932781234,0.22045030932781234
3W-FRI,downside_vol_1m,pct_above_50dma,-0.21877821214738657,0.21877821214738657
3W-FRI,mom12m,spy_ret,0.21653581460780863,0.21653581460780863
3W-FRI,vol_of_vol,hy_spread,0.21648416138197138,0.21648416138197138
3W-FRI,cs_mom_rank,max_dd_6m,0.2151146088097737,0.2151146088097737
3W-FRI,ma_signal,vol_3m,-0.2143619417011186,0.2143619417011186
3W-FRI,vix_slope,hy_spread,-0.21431297017954462,0.21431297017954462
3W-FRI,pct_above_50dma,term_spread,-0.2129947215326434,0.2129947215326434
3W-FRI,cs_mom_rank,max_dd_3m,0.2103105713811534,0.2103105713811534
3W-FRI,ill_log,cpi_chg_12p,0.20882403686072165,0.20882403686072165
3W-FRI,spy_ret,spy_flow_z_12p,0.2085893255187241,0.2085893255187241
3W-FRI,erp,hy_spread_chg_1p,-0.20850554738861463,0.20850554738861463
3W-FRI,vol_1w,pct_above_50dma,-0.2041272763585479,0.2041272763585479
3W-FRI,short_reversal_1m,vol_ratio_1m_3m,0.2039889609491727,0.2039889609491727
3W-FRI,ret_skew,vix_slope,0.20335786831702926,0.20335786831702926
3W-FRI,short_reversal_1m,cpi_chg_12p,0.20087548619623932,0.20087548619623932
3W-FRI,ret_skew,baspread,0.19966631949983915,0.19966631949983915
3W-FRI,mom12m_skip1m,ret_skew,-0.19947106341056786,0.19947106341056786
3W-FRI,ma_signal,lag_y_excess_lead,-0.1992023018380101,0.1992023018380101
3W-FRI,vol_accel,vix_ts_z_12p,-0.19915520854690003,0.19915520854690003
3W-FRI,trend_slope,pct_above_50dma,0.19904551294580067,0.19904551294580067
3W-FRI,ret_kurt,tbill3m,0.19775702967921152,0.19775702967921152
3W-FRI,vol_accel,lag2_y_excess_lead,-0.19619005035467338,0.19619005035467338
3W-FRI,mom12m,trend_slope,0.1960160740462112,0.1960160740462112
3W-FRI,hy_spread,term_spread,-0.195305368454812,0.195305368454812
3W-FRI,ill_log,hy_spread,-0.19496349305245028,0.19496349305245028
3W-FRI,vol_z,vol_accel,0.19466665378264622,0.19466665378264622
3W-FRI,baspread,tbill3m,-0.1942901297359876,0.1942901297359876
3W-FRI,chmom,vix_slope,0.1940553721260854,0.1940553721260854
3W-FRI,max_dd_3m,ret_kurt,-0.1934335399048992,0.1934335399048992
3W-FRI,pct_above_50dma,hy_spread_z_12p,-0.19341327641567463,0.19341327641567463
3W-FRI,vol_ratio_1m_3m,vix_slope,-0.19309722963387996,0.19309722963387996
3W-FRI,ma_regime,pct_above_50dma,0.19178469848138033,0.19178469848138033
3W-FRI,ma_signal,term_spread,-0.19104252957847298,0.19104252957847298
3W-FRI,mom6m,chmom,0.1898830614293092,0.1898830614293092
3W-FRI,mom12m_skip1m,vol_of_vol,-0.18925280724442187,0.18925280724442187
3W-FRI,max_dd_3m,hy_spread,0.189213246565749,0.189213246565749
3W-FRI,pct_above_50dma,spy_flow_z_12p,0.18857041739393052,0.18857041739393052
3W-FRI,ret_kurt,erp,-0.18851258847679336,0.18851258847679336
3W-FRI,vol_accel,spy_flow_z_12p,-0.18850247279022803,0.18850247279022803
