horizon,feature,mean,std,min,p01,p05,p50,p95,p99,max,missing_rate,unique_count
BME,hy_spread,0.0071359375,0.013015777346489359,0.0,0.0,0.0,0.0,0.032799999999999996,0.0394,0.0394,0.0,15
BME,hy_spread_chg_1p,-2.3437499999999967e-05,0.0015445061082231292,-0.0063,-0.0063,-0.001400000000000002,0.0,0.001799999999999996,0.006799999999999997,0.006799999999999997,0.0,16
BME,hy_spread_z_12p,-0.003740003813282397,0.473533498644706,-1.1970765457343384,-1.1970765457343384,-0.6215274716410202,0.0,0.5212926510712433,2.315050706130437,2.315050706130437,0.0,16
BME,cpi_chg_1p,0.0038088084184958702,0.002751626076513063,-0.00041829647960411886,-0.00041829647960411886,0.0003315826188146076,0.0030306177902620357,0.00948499623996324,0.012561019986405686,0.012561019986405686,0.0,63
BME,cpi_chg_12p,0.04472429766512202,0.020656986939042235,0.016698167791706853,0.016698167791706853,0.02381981462805549,0.03340500353721676,0.08462576727730098,0.08979361103105798,0.08979361103105798,0.0,63
BME,term_spread,0.001799062180143664,0.010306692314912992,-0.01611000061035156,-0.01611000061035156,-0.013139998912811278,0.0018400001525878881,0.01733000051230192,0.020790000557899473,0.020790000557899473,0.0,63
BME,tbill3m,0.0330393751833617,0.01942132332853237,3.0000000260770322e-05,3.0000000260770322e-05,0.00028000000864267347,0.04189000129699707,0.05248000144958496,0.05320000171661377,0.05320000171661377,0.0,57
3W-FRI,lag_y_excess_lead,0.005190864218082171,0.04539191461501485,-0.12009789989267883,-0.10289094396541922,-0.0727883539152033,0.009243971259032424,0.07829339728712323,0.11561851089486866,0.16800850950241242,0.0,465
3W-FRI,lag2_y_excess_lead,0.005540147072977294,0.045475622009210875,-0.12009789989267883,-0.10289094396541922,-0.0727883539152033,0.009973896566831453,0.07829339728712323,0.11561851089486866,0.16800850950241242,0.0,465
3W-FRI,mom6m,0.06707684547863424,0.12661098349782002,-0.2989624844095282,-0.226389233030474,-0.14601848980171697,0.06502027307342195,0.25017411534183337,0.435676563293693,0.6212876772879519,0.0,465
3W-FRI,mom12m,0.15803159205964304,0.21554825933326807,-0.33932419864541497,-0.27014884904973474,-0.17013071210089487,0.14596964502095,0.5036225795737016,0.8223586233477153,0.9778091968171556,0.0,465
3W-FRI,mom12m_skip1m,0.14746833425755293,0.20479835937792162,-0.30140459887843385,-0.25943660428650117,-0.16417643022860698,0.13887284532997435,0.47369309590181063,0.7915089386111361,1.0236932800745384,0.0,465
3W-FRI,chmom,0.09095474658100879,0.15205157548103437,-0.2977096557737967,-0.23141688386329812,-0.14959404752137564,0.07851303400760545,0.38383838340288107,0.540834570511898,0.5924131383683681,0.0,465
