horizon,feature,corr_to_target,abs_corr_to_target,n
BME,term_spread,-0.11173999567972932,0.11173999567972932,320
BME,vix_slope,0.10367628342143502,0.10367628342143502,320
BME,vol_autocorr,0.09788599506071456,0.09788599506071456,320
BME,pct_above_50dma,-0.08848982344798371,0.08848982344798371,320
BME,vix_ts_z_12p,0.08743941203052272,0.08743941203052272,320
BME,vol_z,0.08214435621257932,0.08214435621257932,320
BME,cpi_chg_1p,-0.0770321205251084,0.0770321205251084,320
BME,vol_ratio_1m_3m,0.07455978864467196,0.07455978864467196,320
BME,ret_autocorr,-0.07393293487710338,0.07393293487710338,320
BME,short_reversal_1m,0.07072562697638374,0.07072562697638374,320
BME,turnover,0.06716874420356542,0.06716874420356542,320
BME,lag2_y_excess_lead,-0.058102616463280375,0.058102616463280375,320
BME,spy_flow_z_12p,-0.04799996172373543,0.04799996172373543,320
BME,vol_3m,-0.03881203328632991,0.03881203328632991,320
BME,mom12m_skip1m,0.0360700288571051,0.0360700288571051,320
BME,chmom,0.03047667542847541,0.03047667542847541,320
BME,cs_mom_rank,-0.025036529497039047,0.025036529497039047,320
BME,ma_regime,0.02476940756341104,0.02476940756341104,320
BME,sd_turn,0.023969249454044442,0.023969249454044442,320
BME,mom12m,0.023012841058165173,0.023012841058165173,320
BME,ret_kurt,0.02211602214417462,0.02211602214417462,320
BME,downside_vol_1m,0.02043975834212305,0.02043975834212305,320
BME,baspread,-0.01650529107386765,0.01650529107386765,320
BME,ma_signal,-0.013807591900363873,0.013807591900363873,320
BME,trend_slope,-0.01319341495470657,0.01319341495470657,320
BME,max_dd_6m,-0.012123161518435736,0.012123161518435736,320
BME,ill_log,0.01104512144184367,0.01104512144184367,320
BME,erp,0.008617502669570128,0.008617502669570128,320
BME,max_dd_3m,-0.006992335423469749,0.006992335423469749,320
BME,vol_1w,-0.006969500935543344,0.006969500935543344,320
BME,vol_of_vol,-0.005454385492627151,0.005454385492627151,320
BME,ret_skew,0.004948133910666267,0.004948133910666267,320
BME,vol_1m,-0.0035035067741669766,0.0035035067741669766,320
BME,mom6m,0.00242300763453096,0.00242300763453096,320
BME,dolvol_log,-0.0002999950178398672,0.0002999950178398672,320
