horizon,feature,n,mean,std,skew,kurtosis,p01,p99,max_abs_robust_z,share_abs_robust_z_gt_5
BME,lag2_y_excess_lead,320,0.008469872387678861,0.05196877555235572,-0.05855085348696994,-0.37129334285461235,-0.0994407013433722,0.11921459061608769,2.821405468709719,0.0
3W-FRI,mom6m,465,0.06707684547863424,0.12661098349782002,0.3472234352238445,1.6606490749838474,-0.226389233030474,0.435676563293693,4.908102529725518,0.0
3W-FRI,mom12m,465,0.15803159205964304,0.21554825933326807,0.5649817511971247,0.9238171915756235,-0.27014884904973474,0.8223586233477153,3.9828508110631162,0.0
3W-FRI,mom12m_skip1m,465,0.14746833425755293,0.20479835937792162,0.7059424569820326,1.6699058875932429,-0.25943660428650117,0.7915089386111361,4.757541066618032,0.0
3W-FRI,chmom,465,0.09095474658100879,0.15205157548103437,0.4731435981366552,0.8103402567803233,-0.23141688386329812,0.540834570511898,3.9194993458398755,0.0
3W-FRI,short_reversal_1m,465,-0.009191993685333532,0.0559482928258088,0.09563277146893663,0.21958065205233668,-0.13947354651374738,0.1257844194479199,3.213637452401916,0.0
3W-FRI,cs_mom_rank,465,0.6,0.28314733583967105,0.0,-1.3010724336858244,0.2,1.0,1.3489815189531902,0.0
3W-FRI,ma_signal,465,0.009609612017954393,0.03163979658194613,-0.5075793363451847,0.2647248204797008,-0.07650496173645356,0.07702187188798662,3.3947931288207127,0.0
3W-FRI,ma_regime,465,0.6645161290322581,0.47266785954885976,-0.6991242519224935,-1.5177719314941738,0.0,1.0,0.0,0.0
3W-FRI,trend_slope,465,0.09945144451957988,0.5936055578861172,0.22901102845083207,5.441760650672148,-1.5311461371880095,1.67753227570769,8.721651369059801,0.010752688172043012
3W-FRI,vol_1w,465,0.010917137689240389,0.004765349801175624,1.6089627979825736,5.269388929334744,0.003881502832883513,0.027294404768912185,7.2530286770475,0.010752688172043012
3W-FRI,vol_1m,465,0.011571999461417126,0.00461718188662048,1.2325820830101792,2.48872408170407,0.005073149257650944,0.02705879226424992,5.545963481443448,0.002150537634408602
3W-FRI,vol_3m,465,0.011833322448683526,0.004094082391460602,0.6948548094114096,0.16679912398425056,0.005658136932611472,0.023302478744964095,3.366135063573279,0.0
3W-FRI,vol_of_vol,465,0.0005266322828387176,0.0003559898093142235,3.239196882728692,13.180105238751741,0.00017051480599698996,0.002288791712413202,11.513958723311307,0.034408602150537634
3W-FRI,vol_z,465,0.014809165380312716,0.5858367747860077,0.603050152777581,0.009316687067063789,-1.0449921714543957,1.5752525906814685,3.7539317642237786,0.0
3W-FRI,vol_accel,465,0.06707648432026866,0.07259544862448622,2.328561245473054,10.303435364659919,-0.04178303670933228,0.33949571977865733,11.893759460134751,0.017204301075268817
3W-FRI,vol_ratio_1m_3m,465,-0.017494224049315,0.1824356392637578,-0.04293269887746576,0.6089311779188797,-0.5097738456891274,0.4660175014995706,3.2316843404880977,0.0
3W-FRI,downside_vol_1m,465,0.006557556717795415,0.003011305677633083,1.3156544359618632,2.4517967151900737,0.002377110872551431,0.01739513402377205,5.594976109027839,0.004301075268817204
3W-FRI,max_dd_3m,465,-0.11026421965691996,0.06798300237268635,-1.003418626072312,0.2231557448236008,-0.28731904257634194,-0.0240347646828499,3.8604947107325436,0.0
3W-FRI,max_dd_6m,465,-0.15113464174377475,0.08824971315365722,-0.9800919645004385,0.15950493171678293,-0.4075527976690369,-0.040643642618576024,4.408073587722711,0.0
3W-FRI,ret_skew,465,-0.07360160413414829,0.5009380843404911,0.032478640343646295,1.344051633836806,-1.2507595177694133,1.1668130537542067,5.548919968143104,0.002150537634408602
3W-FRI,ret_kurt,465,0.9173675205935856,1.8879285808028652,2.5090704752773214,6.978290300621653,-0.8955318992930805,8.64522335192809,11.028331523346406,0.06236559139784946
3W-FRI,ret_autocorr,465,-0.05600109963924498,0.19396643072656305,-0.03521385602283466,-0.14319158289744083,-0.48665786557049506,0.37118932027904233,3.269371412975644,0.0
3W-FRI,vol_autocorr,465,0.9377828219880397,0.04535342673315795,-2.03093741996314,5.601764126609487,0.7795714376249927,0.986589572167185,8.315270168080458,0.017204301075268817
3W-FRI,ill_log,465,0.034135935332493685,0.05622195239064538,2.5032176530082024,6.332605172260116,9.409883123195343e-05,0.2331877517947255,16.00031878852831,0.09462365591397849
3W-FRI,dolvol_log,465,44.347945951880625,2.181613836290272,0.33691173243005784,-1.2569418120216713,41.04950093657021,48.1303860230439,1.7854707341878366,0.0
3W-FRI,turnover,465,0.006482414833470563,0.1613102820788644,0.5870671408525044,1.1067880247748891,-0.30885147078367126,0.4542698943749331,4.6030462492060025,0.0
3W-FRI,sd_turn,465,0.3663095541149305,0.11410434895548982,1.2371422969447077,2.1645438421481376,0.210433334535403,0.6901733301759748,5.572022946713618,0.004301075268817204
3W-FRI,baspread,465,0.0736553217363073,0.028097583863150078,1.1719901216069404,2.0609601302174654,0.035649453232666266,0.1617730555163066,4.937882049063024,0.0
3W-FRI,vix,465,19.31064526752759,5.705932960956027,1.5544853787348203,3.5680775790010117,12.198800354003906,37.68760147094743,6.215588154302203,0.010752688172043012
3W-FRI,vix_slope,465,0.12425164195909637,0.08081563012112836,-0.9125661932791016,1.900966253671243,-0.11909120642164331,0.2681967264651433,4.372820354988684,0.0
3W-FRI,vix_ts_z_12p,465,-0.014691239128527328,0.9917403091969735,-0.45476353060457964,-0.4791661533938836,-2.387450806981174,1.7194699028205995,2.6348392247866155,0.0
3W-FRI,spy_ret,465,4.7638341228945125e-05,0.01297744950505175,-1.481413052528964,4.227243977055485,-0.04581723629707257,0.022129692759439008,6.257854175014143,0.010752688172043012
3W-FRI,erp,465,-0.032879780889994215,0.02376431215275626,0.4041814539069782,-0.1928614324053024,-0.07904302602571862,0.01827166018036989,3.3261846826921335,0.0
3W-FRI,pct_above_50dma,465,104.07370010196283,11.893004535668949,-7.253854486070804,61.09000420009771,56.805806759810295,113.501962884728,23.189230106088825,0.010752688172043012
3W-FRI,spy_flow_z_12p,465,-0.025453273909433582,0.9984851598158229,0.1856822278328599,-0.5553522807182047,-1.9949160783024984,2.251550507464658,2.0693579995322624,0.0
3W-FRI,hy_spread,465,0.013152688172043013,0.015305900874968584,0.3498637552965754,-1.7716448866584829,0.0,0.039508000000000106,0.0,0.0
3W-FRI,hy_spread_chg_1p,465,-6.559139784946238e-05,0.0020830543009282064,1.3950626824074237,13.243534892038893,-0.006584000000000003,0.007328000000000103,0.0,0.0
3W-FRI,hy_spread_z_12p,465,-0.1782611473300667,0.7028673028532484,0.333511592973986,4.262405928893292,-2.2236108053937182,2.29779566114922,0.0,0.0
3W-FRI,cpi_chg_1p,465,0.0037844516352127447,0.002631510869333757,1.0207105250818003,0.8566346124422588,-0.00024605827596715376,0.011662072643260723,4.358669931773671,0.0
3W-FRI,cpi_chg_12p,465,0.04475519835533686,0.020480173339297122,0.835586492124495,-0.7493651620876194,0.020893825078664576,0.08718781175366959,5.148700013585097,0.010752688172043012
3W-FRI,term_spread,465,0.001819032210736505,0.010434207575665854,0.06634459355607032,-1.239021274101754,-0.015387600421905515,0.020572400689125067,1.2333546979707073,0.0
3W-FRI,tbill3m,465,0.032927419231223165,0.019515215825249215,-0.7623392565740867,-1.0194681315760512,8.000000379979611e-05,0.05326880054473877,2.6817967461488026,0.0
3W-FRI,lag_y_excess_lead,465,0.005190864218082171,0.04539191461501485,0.009210461273774105,0.3434387466219495,-0.10289094396541922,0.11561851089486866,3.836707847139972,0.0
3W-FRI,lag2_y_excess_lead,465,0.005540147072977294,0.045475622009210875,-0.006757610411598231,0.32418319956015607,-0.10289094396541922,0.11561851089486866,3.756790821181155,0.0
