variant,window_date,asset_id,target_winsorize_quantile,lower,upper,n_train,n_low_clipped,n_high_clipped,mean_before,mean_after,std_before,std_after
positive_beta_prior,2025-07-31,IWM,0.025,-0.09803486854079964,0.10781460724082438,52,2,2,-0.00022771682583517123,-0.000353336751899343,0.06004204653297472,0.05963023142301081
positive_beta_prior,2025-07-31,VNQ,0.025,-0.08634595987715107,0.0989607484285528,52,2,2,0.0012715949481496719,0.0018100371787474307,0.057559229894356266,0.05518129903605207
positive_beta_prior,2025-07-31,VNQI,0.025,-0.07518977854848846,0.08553416093805928,52,2,2,-0.002689292803334492,-0.002644740005016278,0.04845822889781614,0.04447173696425047
positive_beta_prior,2025-07-31,VEA,0.025,-0.08613482513997973,0.08522190193177363,52,2,2,0.003332470808845676,0.003035266234362316,0.045544682113617126,0.04299520542561085
positive_beta_prior,2025-07-31,VWO,0.025,-0.0681870483458012,0.07633048455019324,52,2,2,-0.0002767387030788715,-0.0008262857385085506,0.041859158539873306,0.03682789109721904
positive_beta_prior,2025-07-31,VSS,0.025,-0.09682408707318767,0.08721071673567686,52,2,2,0.0013095035607464218,0.001280971097426642,0.04630432607636206,0.04434088101035029
positive_beta_prior,2025-07-31,BND,0.025,-0.03754852013263194,0.032423495438143074,52,2,2,-0.0030145212979097447,-0.002997588967871811,0.019036377053321743,0.018299268242266745
positive_beta_prior,2025-07-31,IEF,0.025,-0.042345577350687155,0.033108935011649604,52,2,2,-0.0038595509660083803,-0.003853520870857683,0.022662022294724343,0.022087960328561803
positive_beta_prior,2025-07-31,BNDX,0.025,-0.03139562229480236,0.02907904634862899,52,2,2,-0.002728189442267689,-0.0026264641678865426,0.015608763374469424,0.01524692580515943
positive_beta_prior,2025-07-31,LQD,0.025,-0.05797341302124056,0.05847975823973363,52,2,2,-0.002791063890814851,-0.002840841941780932,0.02940411760267529,0.02809444894957646
positive_beta_prior,2025-07-31,HYG,0.025,-0.044529083374607765,0.04092070957483678,52,2,2,0.0002873582985856865,0.00029956225090251097,0.023151406952460717,0.020425936647801315
positive_beta_prior,2025-07-31,EWX,0.025,-0.06711633660742884,0.07091270973492372,52,2,2,0.002420583864089447,0.0022157654967138434,0.03659396736937124,0.03370549681758499
positive_beta_prior,2025-07-31,VWOB,0.025,-0.06442566854165033,0.05419124650725779,52,2,2,-0.0011837662757825385,-0.0019177299794690865,0.029918809035243236,0.02782483414105106
positive_beta_prior,2025-07-31,HYEM,0.025,-0.05561412551609704,0.04026878529704135,52,2,2,-0.0006792422151125483,-0.0016863894832284563,0.025900427029114593,0.021905979025742695
positive_beta_prior,2025-08-29,SPY,0.025,-0.0869122692839819,0.08384126422061912,53,2,2,0.008484261806604877,0.008494889622705221,0.04562417280319489,0.04493911070129377
positive_beta_prior,2025-08-29,MGK,0.025,-0.10292090881132585,0.10863950341062974,53,2,2,0.010974600181954803,0.011127664228554912,0.05958095227803428,0.05717171306356825
positive_beta_prior,2025-08-29,VTV,0.025,-0.07617326213876945,0.06722591712364355,53,2,2,0.00618970379948542,0.005420749335887849,0.041281639516650696,0.03898232199764408
positive_beta_prior,2025-08-29,IJR,0.025,-0.08550880366878477,0.11574654792787799,53,2,2,0.001668437180918304,0.0017584810652427289,0.05877644525994583,0.05785928452632586
positive_beta_prior,2025-08-29,IWM,0.025,-0.09794557237940518,0.10777438532056555,53,2,2,0.0010644498459761002,0.0009430519653522203,0.06020143966458232,0.05979291775422946
positive_beta_prior,2025-08-29,VNQ,0.025,-0.08627596982006917,0.09889345419242132,53,2,2,0.0018369329016156865,0.002365317573936145,0.05715147705610083,0.05478847602144667
positive_beta_prior,2025-08-29,VNQI,0.025,-0.07511758867483924,0.0852312165011496,53,2,2,-0.0019214031342625851,-0.0018863986741488822,0.04831453143136226,0.04436715983532329
positive_beta_prior,2025-08-29,VEA,0.025,-0.08552471451838653,0.08514824520656906,53,2,2,0.0040378080326814204,0.0037664546349388257,0.045395978549888576,0.04283877447405888
positive_beta_prior,2025-08-29,VWO,0.025,-0.0680254397398284,0.07607574701031963,53,2,2,0.00031709987981788515,-0.00022559264301503831,0.04167953159907015,0.03670446902149634
positive_beta_prior,2025-08-29,VSS,0.025,-0.09605987014990244,0.08707853411146646,53,2,2,0.002147150014395626,0.0021430062503488547,0.0462606272698465,0.04425923725431128
positive_beta_prior,2025-08-29,BND,0.025,-0.037297324066058526,0.03237631509180087,53,2,2,-0.0028052261627249343,-0.002780914604188426,0.01891392003224625,0.01816428074921706
positive_beta_prior,2025-08-29,IEF,0.025,-0.04229826847445034,0.03309922951011368,53,2,2,-0.00354141234089977,-0.0035340770258575427,0.022562251814141464,0.021992899453029954
positive_beta_prior,2025-08-29,BNDX,0.025,-0.03138395390382409,0.02903217025433186,53,2,2,-0.0027157202032779626,-0.002617242866274531,0.015458217074438058,0.015095166823000637
positive_beta_prior,2025-08-29,LQD,0.025,-0.05757920516259778,0.05810043148339936,53,2,2,-0.002606769322014757,-0.002655046613441534,0.029150905402472817,0.027793667781466542
positive_beta_prior,2025-08-29,HYG,0.025,-0.04445519642086611,0.04063411180369605,53,2,2,0.00042518698438489,0.00042913385015237515,0.0229496626720268,0.0202250870763186
positive_beta_prior,2025-08-29,EWX,0.025,-0.06700001900784248,0.07057491104693593,53,2,2,0.0034956840409672957,0.003286372394168536,0.03707594517574458,0.034256849605067814
positive_beta_prior,2025-08-29,VWOB,0.025,-0.0643339014817546,0.05385691374912501,53,2,2,-0.000903800312290759,-0.0016330690667846193,0.02969975061766008,0.027604956376726303
positive_beta_prior,2025-08-29,HYEM,0.025,-0.055283065476415184,0.040257773115236505,53,2,2,-0.000373655432730694,-0.0013497226445471691,0.02574647192365626,0.02179024583547464
positive_beta_prior,2025-09-30,SPY,0.025,-0.08679460126260108,0.08363246797498426,54,2,2,0.008921387772089548,0.008928443657363809,0.04530572372076577,0.044606042157575035
positive_beta_prior,2025-09-30,MGK,0.025,-0.10250457937642064,0.10843405687763433,54,2,2,0.011611756191997856,0.01176979619706499,0.05920163072336332,0.05677643097678774
positive_beta_prior,2025-09-30,VTV,0.025,-0.0758526083667544,0.06703610272029696,54,2,2,0.0064367417626599545,0.005686873099079688,0.040930612480844425,0.03862354640174547
positive_beta_prior,2025-09-30,IJR,0.025,-0.08546582355312521,0.1154206646217605,54,2,2,0.0017677412340485724,0.0018456397430907697,0.058223883112785604,0.05728845375066358
positive_beta_prior,2025-09-30,IWM,0.025,-0.09785627621801071,0.10773416340030674,54,2,2,0.0015683093413945384,0.0014509771341576052,0.059745637255610856,0.05933444285037362
positive_beta_prior,2025-09-30,VNQ,0.025,-0.08620597976298729,0.09882615995628984,54,2,2,0.00175040561960812,0.0022691052358096986,0.05661331546382542,0.05426492980762365
positive_beta_prior,2025-09-30,VNQI,0.025,-0.07504539880119003,0.08492827206424003,54,2,2,-0.0016981934999202267,-0.0016723837358553104,0.04788466437818779,0.04394992444369387
positive_beta_prior,2025-09-30,VEA,0.025,-0.08491460389679331,0.08507458848136451,54,2,2,0.00437046099754092,0.004124001325548694,0.045032071662164816,0.04245148551770354
positive_beta_prior,2025-09-30,VWO,0.025,-0.06786383113385559,0.07582100947044608,54,2,2,0.0012978096333496809,0.0007617177522765982,0.04190874678886383,0.037047563981330925
positive_beta_prior,2025-09-30,VSS,0.025,-0.09529565322661722,0.08694635148725612,54,2,2,0.0024440952610871435,0.0024634369111551225,0.045874055257395636,0.043819866500287914
positive_beta_prior,2025-09-30,BND,0.025,-0.037046127999485104,0.03232913474545868,54,2,2,-0.002612440760532275,-0.0025810232782563967,0.018788124002878347,0.018025906176678604
positive_beta_prior,2025-09-30,IEF,0.025,-0.042250959598213525,0.03308952400857776,54,2,2,-0.003418812546817383,-0.00341022035336109,0.02236653862387346,0.02179921566310465
