variant,date,rmse,mae,nlpd,cover_1sd,cover_2sd
signed_no_prior,2025-05-30,0.03088494494147337,0.026905113141250367,-2.1113490386104856,0.8888888888888888,1.0
signed_no_prior,2025-06-30,0.011826442942797416,0.008857605758020354,-2.2967520292665466,1.0,1.0
signed_no_prior,2025-07-31,0.033805620499810334,0.026919832544541968,-2.1713411173457913,0.6666666666666666,1.0
signed_no_prior,2025-08-29,0.018987966377370536,0.014562810573168855,-2.4859380006791953,0.9444444444444444,1.0
signed_no_prior,2025-09-30,0.015219598799014668,0.011689120780234213,-2.473690127781497,1.0,1.0
signed_no_prior,2025-10-31,0.014461688741409334,0.010601255476899496,-2.4231279827233614,1.0,1.0
signed_no_prior,2025-11-28,0.016213192578277844,0.013443070668795628,-2.6106474374570556,0.9444444444444444,1.0
signed_no_prior,2025-12-31,0.02769409551146952,0.021228572259791984,-2.4107848502116394,0.6666666666666666,1.0
signed_no_prior,2026-01-30,0.028665328273756743,0.022991897363149008,-2.282651651936303,0.6666666666666666,1.0
signed_no_prior,2026-02-27,0.06763041600058521,0.05921486259463198,-0.562284951576515,0.05555555555555555,0.6111111111111112
signed_no_prior,2026-03-31,0.07039510112436487,0.05578325495006123,-0.945213219465448,0.3888888888888889,0.6111111111111112
signed_no_prior,2026-04-30,0.023232191339597908,0.015822768982238007,-2.4194770119200926,0.8888888888888888,1.0
signed_lkj_eta_1,2025-05-30,0.03358331037917948,0.029019649656736264,-2.131595079552992,0.5,1.0
signed_lkj_eta_1,2025-06-30,0.011328032868876339,0.008419751878323061,-2.7127091040158886,1.0,1.0
signed_lkj_eta_1,2025-07-31,0.033562450490985204,0.02663268107545912,-2.21525463323806,0.6111111111111112,0.9444444444444444
signed_lkj_eta_1,2025-08-29,0.018397126252367522,0.014028297366652355,-2.650405467475612,0.8888888888888888,1.0
signed_lkj_eta_1,2025-09-30,0.013682088490803768,0.010962191752783146,-2.8165583756647754,0.9444444444444444,1.0
signed_lkj_eta_1,2025-10-31,0.014341644646843293,0.010640691574451803,-2.810105543839354,1.0,1.0
signed_lkj_eta_1,2025-11-28,0.012764083246261966,0.009930402287280558,-2.813499184610485,1.0,1.0
signed_lkj_eta_1,2025-12-31,0.028941206821170077,0.02209231192772074,-2.3951521903035227,0.5,0.8888888888888888
signed_lkj_eta_1,2026-01-30,0.029060194406774938,0.023354142446645007,-2.2105656706557637,0.4444444444444444,1.0
signed_lkj_eta_1,2026-02-27,0.06641832713331564,0.057900481780466216,1.3690196374818957,0.0,0.2777777777777778
signed_lkj_eta_1,2026-03-31,0.06917754216339983,0.05470445355921486,0.3445707781867146,0.2222222222222222,0.4444444444444444
signed_lkj_eta_1,2026-04-30,0.02498567401557955,0.017255384120320787,-2.5460787150972997,0.8333333333333334,1.0
signed_lkj_eta_2,2025-05-30,0.033305136832179054,0.028815830996266414,-2.1439593841516262,0.6111111111111112,1.0
signed_lkj_eta_2,2025-06-30,0.011333324206425225,0.008425177530382216,-2.7197781464682036,1.0,1.0
signed_lkj_eta_2,2025-07-31,0.03384102607806243,0.026806132735213612,-2.1752548835032623,0.5555555555555556,0.9444444444444444
signed_lkj_eta_2,2025-08-29,0.018712329585197366,0.014232167835179308,-2.670262083805989,0.8888888888888888,1.0
signed_lkj_eta_2,2025-09-30,0.013820676696439545,0.011113017508651723,-2.805441912096361,0.8888888888888888,1.0
signed_lkj_eta_2,2025-10-31,0.013857480043755564,0.010346316733691824,-2.8229641786324673,0.9444444444444444,1.0
signed_lkj_eta_2,2025-11-28,0.012680824401915147,0.009773907095054052,-2.842840104088312,1.0,1.0
signed_lkj_eta_2,2025-12-31,0.029351752913933136,0.022360508681701464,-2.3909353107636644,0.5555555555555556,0.8888888888888888
signed_lkj_eta_2,2026-01-30,0.028705517003620243,0.02293432769243845,-2.11822737157536,0.3888888888888889,0.7222222222222222
signed_lkj_eta_2,2026-02-27,0.06643523655616683,0.05782282910545057,1.556943358125781,0.0,0.2222222222222222
signed_lkj_eta_2,2026-03-31,0.06928826847881302,0.05477845136648962,0.4020477195534147,0.2222222222222222,0.4444444444444444
signed_lkj_eta_2,2026-04-30,0.02440906969004884,0.016429270843086433,-2.5524265127225423,0.8888888888888888,1.0
