variant,window_date,corr_min,corr_max,corr_mean_offdiag,negative_corr_share,eig1_share,eig5_share,corr_mean_within_group,corr_mean_between_group,experiment_label
component_outputscale_floor,2025-06-30,0.4552577339761829,0.992349012274468,0.7349944403900533,0.0,0.753807032877082,0.9553116695614824,0.8337192935591253,0.7147830531270938,component_outputscale_floor
component_outputscale_floor,2025-07-31,0.4780012152200855,0.993977765729738,0.7382353446072071,0.0,0.7565155586155611,0.9556307486987858,0.8376110466024809,0.7178907127026628,component_outputscale_floor
component_outputscale_floor,2025-08-29,0.4780541778514136,0.9904951706454654,0.7409827404537604,0.0,0.7595442436893466,0.9517328137729651,0.8392905464110801,0.7208567329349391,component_outputscale_floor
component_outputscale_floor,2025-09-30,0.4845663013358724,0.9920611831314756,0.7449461184397038,0.0,0.7630573155279898,0.9560325157306424,0.8391241047307016,0.7256655858132005,component_outputscale_floor
component_outputscale_floor,2025-10-31,0.557070444609538,0.995370280862374,0.760204449263255,0.0,0.776186495917186,0.940061160279126,0.8331944515449148,0.7452616141504743,component_outputscale_floor
component_outputscale_floor,2025-11-28,0.4982049496523725,0.99108048688262,0.7450752051580065,0.0,0.7629217043849206,0.9522070537747632,0.8347723222080071,0.7267120158406836,component_outputscale_floor
component_outputscale_floor,2025-12-31,0.4627704129708701,0.9908073785396188,0.7437026163953295,0.0,0.7617420527508774,0.9519875231171404,0.8317673291930691,0.7256736200745326,component_outputscale_floor
component_outputscale_floor,2026-01-30,0.4249929006137016,0.9879244382438576,0.7321730227638898,0.0,0.7510027291519442,0.9499911625755216,0.820463751465974,0.7140977554705499,component_outputscale_floor
component_outputscale_floor,2026-02-27,0.4698936417408011,0.9920234051530504,0.7389883512009491,0.0,0.7567010897105816,0.9388160975053076,0.8354287553385412,0.719244646416875,component_outputscale_floor
component_outputscale_floor,2026-03-31,0.483391001901804,0.9933206363349468,0.7315417301190339,0.0,0.7499095456364214,0.9490062124015642,0.8418445782859926,0.7089600446675308,component_outputscale_floor
component_outputscale_floor,2026-04-30,0.4404663162997807,0.9912786887441208,0.7333383808813543,0.0,0.7532341613182575,0.963717292635006,0.8457364645021155,0.7103277495889148,component_outputscale_floor
scenario_mean_scale,2025-05-30,0.4066063619401166,0.9931241903897646,0.7294325688251673,0.0,0.7498700019992365,0.9663812754102958,0.8274818492216054,0.7093594877991248,scenario_mean_scale_1.5
scenario_mean_scale,2025-06-30,0.4267740250282461,0.9916995185624304,0.7360206046798342,0.0,0.7550724989453861,0.9606711893351484,0.8370282051433,0.7153418833251087,scenario_mean_scale_1.5
scenario_mean_scale,2025-07-31,0.4410658790393972,0.993246555372576,0.7358136507692276,0.0,0.7550667574176395,0.9589715907178622,0.834876661821139,0.7155330343334032,scenario_mean_scale_1.5
scenario_mean_scale,2025-08-29,0.4483565688845634,0.9925659741726384,0.7433118134815495,0.0,0.7617199505249178,0.956657848075117,0.8342365688678891,0.7246972966308027,scenario_mean_scale_1.5
scenario_mean_scale,2025-09-30,0.4379854599396969,0.9912598105089236,0.7456559390188708,0.0,0.7640132825367179,0.9638557303851032,0.8367142345638865,0.7270140832380013,scenario_mean_scale_1.5
scenario_mean_scale,2025-10-31,0.5175261964560844,0.9933215183729386,0.75985535231299,0.0,0.7764108517536377,0.9533641029791068,0.8471237526923578,0.741989380581781,scenario_mean_scale_1.5
scenario_mean_scale,2025-11-28,0.4908443310457405,0.9913322841705092,0.7495476960220664,0.0,0.7673226982273907,0.9565551230176906,0.8396845357731597,0.7310944847344409,scenario_mean_scale_1.5
scenario_mean_scale,2025-12-31,0.4608019510692385,0.9911388630690088,0.7407067115534122,0.0,0.7594495922016414,0.9564276267788594,0.8283183132284536,0.722770478139624,scenario_mean_scale_1.5
scenario_mean_scale,2026-01-30,0.4319573196717716,0.9912445601338252,0.7431825503480514,0.0,0.7617323097177646,0.957438859299622,0.8285921291092043,0.725697124774902,scenario_mean_scale_1.5
scenario_mean_scale,2026-02-27,0.4940869755167966,0.9934639426833368,0.7422625454404759,0.0,0.7598700471503141,0.939204090232907,0.8396246678452456,0.7223301424284757,scenario_mean_scale_1.5
scenario_mean_scale,2026-03-31,0.4220907804107761,0.99178854515383,0.7315374745084123,0.0,0.7510717132357132,0.9657822398657584,0.8224497100006859,0.7129255207855847,scenario_mean_scale_1.5
scenario_mean_scale,2026-04-30,0.387853578436445,0.9937094218149546,0.7364469804463916,0.0,0.7568117931342097,0.9720946171606668,0.8577266335497966,0.7116180750866392,scenario_mean_scale_1.5
turnover_blend,2025-05-30,0.4066063619401166,0.9931241903897646,0.7294325688251673,0.0,0.7498700019992365,0.9663812754102958,0.8274818492216054,0.7093594877991248,turnover_blend_0.5
turnover_blend,2025-06-30,0.4267740250282461,0.9916995185624304,0.7360206046798342,0.0,0.7550724989453861,0.9606711893351484,0.8370282051433,0.7153418833251087,turnover_blend_0.5
turnover_blend,2025-07-31,0.4410658790393972,0.993246555372576,0.7358136507692276,0.0,0.7550667574176395,0.9589715907178622,0.834876661821139,0.7155330343334032,turnover_blend_0.5
turnover_blend,2025-08-29,0.4483565688845634,0.9925659741726384,0.7433118134815495,0.0,0.7617199505249178,0.956657848075117,0.8342365688678891,0.7246972966308027,turnover_blend_0.5
turnover_blend,2025-09-30,0.4379854599396969,0.9912598105089236,0.7456559390188708,0.0,0.7640132825367179,0.9638557303851032,0.8367142345638865,0.7270140832380013,turnover_blend_0.5
turnover_blend,2025-10-31,0.5175261964560844,0.9933215183729386,0.75985535231299,0.0,0.7764108517536377,0.9533641029791068,0.8471237526923578,0.741989380581781,turnover_blend_0.5
turnover_blend,2025-11-28,0.4908443310457405,0.9913322841705092,0.7495476960220664,0.0,0.7673226982273907,0.9565551230176906,0.8396845357731597,0.7310944847344409,turnover_blend_0.5
turnover_blend,2025-12-31,0.4608019510692385,0.9911388630690088,0.7407067115534122,0.0,0.7594495922016414,0.9564276267788594,0.8283183132284536,0.722770478139624,turnover_blend_0.5
turnover_blend,2026-01-30,0.4319573196717716,0.9912445601338252,0.7431825503480514,0.0,0.7617323097177646,0.957438859299622,0.8285921291092043,0.725697124774902,turnover_blend_0.5
turnover_blend,2026-02-27,0.4940869755167966,0.9934639426833368,0.7422625454404759,0.0,0.7598700471503141,0.939204090232907,0.8396246678452456,0.7223301424284757,turnover_blend_0.5
turnover_blend,2026-03-31,0.4220907804107761,0.99178854515383,0.7315374745084123,0.0,0.7510717132357132,0.9657822398657584,0.8224497100006859,0.7129255207855847,turnover_blend_0.5
turnover_blend,2026-04-30,0.387853578436445,0.9937094218149546,0.7364469804463916,0.0,0.7568117931342097,0.9720946171606668,0.8577266335497966,0.7116180750866392,turnover_blend_0.5
