variant,date,rmse,mae,nlpd,cover_1sd,cover_2sd
signed_no_prior,2025-05-30,0.03221388478115183,0.027867295766495208,-2.11475981480266,0.8888888888888888,1.0
signed_no_prior,2025-06-30,0.011298434541289948,0.008557116511631303,-2.3567857538326513,1.0,1.0
signed_no_prior,2025-07-31,0.03401506918139028,0.027413876017634203,-2.1507883589779233,0.7222222222222222,1.0
signed_no_prior,2025-08-29,0.017947309977895124,0.013501163651215979,-2.4710830797621526,0.9444444444444444,1.0
signed_no_prior,2025-09-30,0.015615242230105807,0.011712813223776125,-2.5364436455511328,1.0,1.0
signed_no_prior,2025-10-31,0.014424890960760961,0.010390487337032746,-2.494116812257119,1.0,1.0
signed_no_prior,2025-11-28,0.01417284878710022,0.011689891479320591,-2.6685846258633297,1.0,1.0
signed_no_prior,2025-12-31,0.0275827007422815,0.021128891777544474,-2.4388016310646736,0.6666666666666666,1.0
signed_no_prior,2026-01-30,0.02808574122871236,0.022746856237317245,-2.2896303872385193,0.6111111111111112,1.0
signed_no_prior,2026-02-27,0.06902030111050093,0.06070304335889985,-0.44350683968318516,0.05555555555555555,0.6111111111111112
signed_no_prior,2026-03-31,0.06985490874915158,0.05538400661381331,-0.8459398155390982,0.3888888888888889,0.6111111111111112
signed_no_prior,2026-04-30,0.023456803458870187,0.01553036383233444,-2.412880343474236,0.9444444444444444,1.0
signed_lkj_eta_1,2025-05-30,0.03352456169262759,0.028971204156263513,-2.154106297273386,0.4444444444444444,1.0
signed_lkj_eta_1,2025-06-30,0.0111987750938699,0.008380724820523997,-2.696231060665193,1.0,1.0
signed_lkj_eta_1,2025-07-31,0.03366208054071198,0.026636223198243023,-2.195607925199113,0.6111111111111112,0.9444444444444444
signed_lkj_eta_1,2025-08-29,0.01848844125307767,0.014131421810883449,-2.6728968914358098,0.8888888888888888,1.0
signed_lkj_eta_1,2025-09-30,0.013418565794668514,0.010793356508707035,-2.828195013931787,0.8888888888888888,1.0
signed_lkj_eta_1,2025-10-31,0.014916312212566243,0.011068742640896558,-2.810271117988008,0.8333333333333334,1.0
signed_lkj_eta_1,2025-11-28,0.01335077122370613,0.010427186995202349,-2.821412630637269,1.0,1.0
signed_lkj_eta_1,2025-12-31,0.028325146729765355,0.02176879579343423,-2.417455999156425,0.5,0.8888888888888888
signed_lkj_eta_1,2026-01-30,0.02873344562510127,0.023048764534067,-2.2191061363187514,0.4444444444444444,0.9444444444444444
signed_lkj_eta_1,2026-02-27,0.0665987168876186,0.05805947465203966,1.56044801443541,0.0,0.2777777777777778
signed_lkj_eta_1,2026-03-31,0.06921698011109755,0.05472452860520541,0.39429889440635163,0.2222222222222222,0.4444444444444444
signed_lkj_eta_1,2026-04-30,0.024745016517602948,0.01695671667619389,-2.568825737701184,0.8333333333333334,1.0
signed_lkj_eta_2,2025-05-30,0.033371298749911564,0.02883828541229085,-2.1468807214205796,0.6111111111111112,1.0
signed_lkj_eta_2,2025-06-30,0.011190650871167343,0.008350884426084044,-2.7135565122936294,1.0,1.0
signed_lkj_eta_2,2025-07-31,0.0337379412582908,0.026702445802111088,-2.184319849060221,0.6111111111111112,0.9444444444444444
signed_lkj_eta_2,2025-08-29,0.01795905687637284,0.013640657127597357,-2.695544667320646,0.8888888888888888,1.0
signed_lkj_eta_2,2025-09-30,0.013400726209942211,0.010705770542453745,-2.8292192363060007,0.8888888888888888,1.0
signed_lkj_eta_2,2025-10-31,0.01389520330036544,0.010252084025057498,-2.8234230749712963,0.9444444444444444,1.0
signed_lkj_eta_2,2025-11-28,0.01267546627665461,0.009895652615119035,-2.8606817261135813,1.0,1.0
signed_lkj_eta_2,2025-12-31,0.029055981894531985,0.022211502069572207,-2.4200140350797765,0.5555555555555556,0.9444444444444444
signed_lkj_eta_2,2026-01-30,0.029068713909507462,0.023429476523258344,-2.140761386192914,0.3888888888888889,0.7777777777777778
signed_lkj_eta_2,2026-02-27,0.06648647167624192,0.057836105299032464,1.501895170144268,0.0,0.2777777777777778
signed_lkj_eta_2,2026-03-31,0.0692378205654934,0.054767982741454176,0.2351710031359577,0.2222222222222222,0.5
signed_lkj_eta_2,2026-04-30,0.0247444018883928,0.017251024802257802,-2.5381133963304277,0.8333333333333334,1.0
