experiment,date,diagnostic,module_path,module_type,mean,min,max,experiment_label
signed_lkj_eta_2,2025-09-30,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,187.41639856739195,187.41639856739195,187.41639856739195,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,5.034945006161505e-05,5.034945006161505e-05,5.034945006161505e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,0.8948474865925666,0.8948474865925666,0.8948474865925666,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,3.619040593701507e-05,3.619040593701507e-05,3.619040593701507e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.9013883302570732,0.2396014377268465,1.3951668942987498,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,outputscale,covar_module.kernels.0.base_kernel.kernels.2,MaternKernel,0.2475034070532005,0.2475034070532005,0.2475034070532005,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.2.base_kernel,MaternKernel,0.6972819921657561,0.1022108677331336,1.626079147551288,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,outputscale,covar_module.kernels.0.base_kernel.kernels.3,RQKernel,6.948117844132988e-05,6.948117844132988e-05,6.948117844132988e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.3.base_kernel,RQKernel,0.8115408577533625,0.4986236867963577,1.216684245730411,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,outputscale,covar_module.kernels.0.base_kernel.kernels.4,LinearKernel,0.0014595097868009,0.0014595097868009,0.0014595097868009,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,outputscale,covar_module.kernels.0.base_kernel.kernels.5,ProductKernel,3.191694743687553e-05,3.191694743687553e-05,3.191694743687553e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.0,MaternKernel,0.2892732568199698,0.2892732568199698,0.2892732568199698,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.5.base_kernel.kernels.1,MaternKernel,0.836008031201759,0.3511109875546746,1.1978768947852785,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,outputscale,covar_module.kernels.0.base_kernel.kernels.6,ProductKernel,6.05113684876771e-05,6.05113684876771e-05,6.05113684876771e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.0,MaternKernel,0.4027196724721742,0.4027196724721742,0.4027196724721742,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.0,MaternKernel,0.791599974430113,0.6984379095610699,0.8914205643988481,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.6.base_kernel.kernels.1.kernels.1,RQKernel,0.8178082770767429,0.7201395052625069,0.923843009814054,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,outputscale,covar_module.kernels.0.base_kernel.kernels.7,ProductKernel,5.991962685229613e-05,5.991962685229613e-05,5.991962685229613e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.0,MaternKernel,0.8231337800796706,0.8177236116709263,0.8346635452094909,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.0.kernels.1,RQKernel,0.8255198471274298,0.8186759752865712,0.8371086696637935,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,lengthscale,covar_module.kernels.0.base_kernel.kernels.7.base_kernel.kernels.1,MaternKernel,0.8107730605944474,0.7276951151183431,0.9926993139374098,signed_lkj_eta_2
signed_lkj_eta_2,2025-09-30,likelihood_noise,likelihood,HadamardGaussianLikelihood,0.0064892412193331,0.0059673317806811,0.0066737517967841,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,time_varying_effective_lengthscale_eval,covar_module.kernels.0,_Module,221.67968544935732,221.67968544935732,221.67968544935732,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,outputscale,covar_module.kernels.0.base_kernel.kernels.0,MaternKernel,7.84648642832577e-05,7.84648642832577e-05,7.84648642832577e-05,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.0.base_kernel,MaternKernel,1.218744667385261,1.218744667385261,1.218744667385261,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,outputscale,covar_module.kernels.0.base_kernel.kernels.1,MaternKernel,5.069561106754084e-06,5.069561106754084e-06,5.069561106754084e-06,signed_lkj_eta_2
signed_lkj_eta_2,2025-10-31,lengthscale,covar_module.kernels.0.base_kernel.kernels.1.base_kernel,MaternKernel,0.975669407341844,0.2293455554850181,1.5619112133124815,signed_lkj_eta_2
